"id";"user_id";"ticket_id";"amount";"base_price";"platform_fee";"organizer_amount";"status";"transaction_id"
37;43;44;124.8;120;13.2;111.6;"completed";"TXN37"
1;30;1;10000.0;10000;0.0;10000.0;"completed";"TXN1"
2;30;2;10000.0;10000;0.0;10000.0;"completed";"TXN2"
3;32;4;2000.0;2000;0.0;2000.0;"completed";"TXN3"
4;32;9;1560.0;1500;165.0;1395.0;"pending";"TXN4"
5;32;10;1560.0;1500;165.0;1395.0;"pending";"TXN5"
6;32;11;1560.0;1500;165.0;1395.0;"pending";"TXN6"
7;32;12;1560.0;1500;165.0;1395.0;"pending";"TXN7"
8;32;13;1560.0;1500;165.0;1395.0;"pending";"TXN8"
9;32;14;1560.0;1500;165.0;1395.0;"pending";"TXN9"
10;32;15;1560.0;1500;165.0;1395.0;"pending";"TXN10"
11;32;16;1560.0;1500;165.0;1395.0;"pending";"TXN11"
12;32;17;1560.0;1500;165.0;1395.0;"pending";"TXN12"
13;32;18;1560.0;1500;165.0;1395.0;"pending";"TXN13"
14;32;19;52.0;50;5.5;46.5;"pending";"TXN14"
15;32;20;156.0;150;16.5;139.5;"pending";"TXN15"
16;32;21;156.0;150;16.5;139.5;"pending";"TXN16"
17;32;22;156.0;150;16.5;139.5;"pending";"TXN17"
18;32;23;156.0;150;16.5;139.5;"pending";"TXN18"
19;32;24;156.0;150;16.5;139.5;"pending";"TXN19"
20;32;25;156.0;150;16.5;139.5;"pending";"TXN20"
21;32;26;20.8;20;2.2;18.6;"failed";"TXN21"
22;32;27;20.8;20;2.2;18.6;"failed";"TXN22"
23;32;28;156.0;150;16.5;139.5;"completed";"TXN23"
24;32;29;156.0;150;16.5;139.5;"completed";"TXN24"
25;32;30;156.0;150;16.5;139.5;"pending";"TXN25"
26;32;31;156.0;150;16.5;139.5;"pending";"TXN26"
27;32;32;156.0;150;16.5;139.5;"completed";"TXN27"
28;32;33;10400.0;10000;1100.0;9300.0;"failed";"TXN28"
29;32;35;156.0;150;16.5;139.5;"failed";"TXN29"
30;32;36;156.0;150;16.5;139.5;"completed";"TXN30"
31;44;37;156.0;150;16.5;139.5;"failed";"TXN31"
33;43;40;156.0;150;16.5;139.5;"completed";"TXN33"
32;43;39;117.52;113;12.430000000000001;105.09;"completed";"TXN32"
34;43;41;124.8;120;13.2;111.6;"failed";"TXN34"
35;43;42;124.8;120;13.2;111.6;"failed";"TXN35"
36;43;43;156.0;150;16.5;139.5;"failed";"TXN36"
