"id";"qr_hash";"payment_status";"payment_ref";"is_used";"used_at";"purchased_at";"user_id";"event_id";"payment_method";"cash_amount";"failure_reason"
35;"QR35";"echec_paiement";"REF35";"f";"";"2026-06-24 10:14:17.654473";32;18;"orange_money";150;""
2;"QR2";"paye_cash";"REF2";"t";"2026-05-04 03:37:33.597319";"2026-05-04 03:26:57.497245";30;8;"cash";10000;""
3;"QR3";"reservation_cash";"REF3";"f";"";"2026-05-07 07:42:12.160373";23;1;"cash";5000;""
4;"QR4";"paye_cash";"REF4";"t";"2026-05-08 15:27:43.343357";"2026-05-08 15:17:36.300213";32;9;"cash";2000;""
5;"QR5";"reservation_cash";"REF5";"f";"";"2026-05-11 10:01:46.219228";32;6;"cash";8000;""
6;"QR6";"reservation_cash";"REF6";"f";"";"2026-05-11 11:28:22.870733";32;6;"cash";8000;""
7;"QR7";"reservation_cash";"REF7";"f";"";"2026-05-11 11:28:55.656535";32;6;"cash";8000;""
8;"QR8";"paye";"REF8";"t";"2026-05-14 06:57:10.232665";"2026-05-14 06:52:31.262961";32;12;"gratuit";0;""
9;"QR9";"en_attente_om";"REF9";"f";"";"2026-05-20 23:40:12.048928";32;3;"orange_money";1500;""
10;"QR10";"en_attente_om";"REF10";"f";"";"2026-05-20 23:40:17.434776";32;3;"orange_money";1500;""
11;"QR11";"en_attente_om";"REF11";"f";"";"2026-05-20 23:40:24.122166";32;3;"orange_money";1500;""
12;"QR12";"en_attente_om";"REF12";"f";"";"2026-05-20 23:40:28.820796";32;3;"orange_money";1500;""
13;"QR13";"en_attente_om";"REF13";"f";"";"2026-05-20 23:47:33.103739";32;3;"orange_money";1500;""
14;"QR14";"en_attente_om";"REF14";"f";"";"2026-05-20 23:47:36.793434";32;3;"orange_money";1500;""
15;"QR15";"en_attente_om";"REF15";"f";"";"2026-05-20 23:48:17.82585";32;3;"orange_money";1500;""
16;"QR16";"en_attente_om";"REF16";"f";"";"2026-05-20 23:55:41.215762";32;3;"orange_money";1500;""
17;"QR17";"en_attente_om";"REF17";"f";"";"2026-05-21 00:07:57.385489";32;3;"orange_money";1500;""
18;"QR18";"en_attente_om";"REF18";"f";"";"2026-05-21 00:08:00.141252";32;3;"orange_money";1500;""
19;"QR19";"en_attente_om";"REF19";"f";"";"2026-05-21 00:17:31.334136";32;13;"orange_money";50;""
20;"QR20";"en_attente_om";"REF20";"f";"";"2026-05-21 04:44:00.925019";32;13;"orange_money";150;""
21;"QR21";"en_attente_om";"REF21";"f";"";"2026-05-21 06:15:15.745938";32;14;"orange_money";150;""
22;"QR22";"en_attente_om";"REF22";"f";"";"2026-05-21 12:07:51.30993";32;14;"orange_money";150;""
23;"QR23";"en_attente_om";"REF23";"f";"";"2026-05-21 12:20:55.731203";32;14;"orange_money";150;""
24;"QR24";"en_attente_om";"REF24";"f";"";"2026-05-21 12:23:50.501059";32;14;"orange_money";150;""
25;"QR25";"en_attente_om";"REF25";"f";"";"2026-05-21 16:50:46.436819";32;14;"orange_money";150;""
26;"QR26";"echec_paiement";"REF26";"f";"";"2026-05-21 17:25:59.301032";32;15;"orange_money";20;""
27;"QR27";"echec_paiement";"REF27";"f";"";"2026-05-21 17:27:27.992317";32;15;"orange_money";20;""
36;"QR36";"paye";"REF36";"t";"2026-06-24 11:16:00.761292";"2026-06-24 10:20:06.335724";32;18;"orange_money";150;""
29;"QR29";"paye";"REF29";"f";"";"2026-05-21 19:03:24.931995";32;16;"orange_money";150;""
28;"QR28";"paye";"REF28";"t";"2026-05-22 05:03:28.915534";"2026-05-21 17:32:03.370353";32;14;"orange_money";150;""
30;"QR30";"en_attente_om";"REF30";"f";"";"2026-06-10 12:04:42.168149";32;13;"orange_money";150;""
31;"QR31";"en_attente_om";"REF31";"f";"";"2026-06-10 12:05:30.94276";32;13;"orange_money";150;""
32;"QR32";"paye";"REF32";"f";"";"2026-06-10 12:17:12.243695";32;13;"orange_money";150;""
33;"QR33";"echec_paiement";"REF33";"f";"";"2026-06-22 13:52:16.682173";32;10;"orange_money";10000;""
34;"QR34";"paye";"REF34";"t";"2026-06-24 11:16:55.412475";"2026-06-24 10:11:26.832138";32;17;"gratuit";0;""
37;"QR37";"echec_paiement";"REF37";"f";"";"2026-06-30 11:01:46.527648";44;13;"orange_money";150;""
38;"QR38";"paye";"REF38";"f";"";"2026-07-09 09:30:34.927146";43;12;"gratuit";0;""
40;"QR40";"paye";"REF40";"f";"";"2026-07-10 15:57:06.282056";43;27;"orange_money";150;""
39;"QR39";"paye";"REF39";"f";"";"2026-07-10 15:52:49.625703";43;27;"orange_money";113;""
1;"QR1";"paye_cash";"REF1";"t";"2026-05-04 03:26:16.453909";"2026-05-04 03:24:16.192384";30;8;"cash";10000;""
41;"QR41";"echec_paiement";"REF41";"f";"";"2026-07-15 17:51:28.971333";43;28;"orange_money";120;""
42;"QR42";"echec_paiement";"REF42";"f";"";"2026-07-15 17:53:37.52642";43;28;"orange_money";120;""
43;"QR43";"echec_paiement";"REF43";"f";"";"2026-07-15 17:57:25.599221";43;28;"orange_money";150;""
44;"QR44";"paye";"REF44";"f";"";"2026-07-15 19:39:46.333898";43;28;"orange_money";120;""
